,DATE,VALUE
0,2020-07-08,456945.43999999994
1,2020-07-15,456153.49999999994
2,2020-07-22,467157.98
3,2020-07-29,468663.6100000001
4,2020-08-05,474166.50000000006
5,2020-08-12,474065.76000000007
6,2020-08-19,477123.91000000015
7,2020-08-26,490318.54000000004
8,2020-09-02,494181.23999999993
9,2020-09-09,475817.30999999994
10,2020-09-16,482769.10000000003
11,2020-09-23,470450.1599999999
12,2020-09-30,484996.48999999993
13,2020-10-07,498883.35
14,2020-10-14,508456.36999999994
15,2020-10-21,500586.58999999997
16,2020-10-28,481549.7899999999
17,2020-11-04,492869.34
18,2020-11-11,515985.92999999993
19,2020-11-18,519588.67000000004
20,2020-11-25,521302.34
21,2020-12-02,526194.3999999999
22,2020-12-09,528188.49
23,2020-12-16,529995.6799999999
24,2020-12-23,531400.26
25,2020-12-30,537585.4099999999
26,2021-01-06,513262.1299999999
27,2021-01-13,509377.1099999999
28,2021-01-20,509492.68000000005
29,2021-01-27,499926.18
30,2021-02-03,514526.52999999997
31,2021-02-10,524955.7200000001
32,2021-02-17,524044.16000000003
33,2021-02-24,513615.89999999997
34,2021-03-03,505101.30999999994
35,2021-03-10,510025.26
36,2021-03-17,514737.38
37,2021-03-24,511191.0
38,2021-03-31,518210.48
39,2021-04-07,521324.2899999999
40,2021-04-14,532474.31
41,2021-04-21,536529.31
42,2021-04-28,540181.2000000001
43,2021-05-05,526570.82
44,2021-05-12,517398.25999999995
45,2021-05-19,519862.94
46,2021-05-26,528066.97
47,2021-06-02,523642.64
48,2021-06-09,528224.4500000002
49,2021-06-16,534587.5700000001
50,2021-07-07,560453.26
51,2021-07-14,562076.6699999999
52,2021-07-21,563396.3900000001
53,2021-07-28,575716.5899999999
54,2021-08-04,576793.0200000003
55,2021-08-11,578509.4199999999
56,2021-08-18,583332.2499999999
57,2021-08-25,590975.93
58,2021-09-01,598873.6
59,2021-09-08,596326.17
60,2021-09-15,589573.44
61,2021-09-22,588462.25
62,2021-09-29,573546.5000000002
63,2021-10-06,539490.4099999999
64,2021-10-20,562864.7000000001
65,2021-10-27,567837.2100000001
66,2021-11-03,570365.6299999999
67,2021-11-10,568794.22
68,2021-11-17,570332.0500000002
69,2021-11-24,562104.98
70,2021-12-01,553521.91
71,2021-12-08,566930.4600000001
72,2021-12-15,562668.13
73,2021-12-22,562720.98
74,2021-12-29,578744.34
75,2022-01-05,559454.99
76,2022-01-12,544215.88
77,2022-01-19,521433.77999999985
78,2022-01-26,507321.34
79,2022-02-02,527861.59
80,2022-02-09,519093.86000000004
81,2022-02-16,502015.07999999996
82,2022-02-23,491980.81000000006
83,2022-03-02,492887.12
84,2022-03-09,470880.12000000005
85,2022-03-16,487783.78999999986
86,2022-03-23,499234.37999999983
87,2022-03-30,511662.92
